,,Tables_in_reporting
,reporting.,biocollection_field
,reporting.,biocollection_field_search
,reporting.,biospecimen_field
,reporting.,biospecimen_field_search
,reporting.,consent_status_field
,reporting.,consent_status_field_search
,reporting.,custom_field_display_search
,reporting.,demographic_field
,reporting.,demographic_field_search
,reporting.,query_filter
,reporting.,query_filter_grouping
,reporting.,query_grouping
,reporting.,query_grouping_grouping
,reporting.,report_output_format
,reporting.,report_template
,reporting.,search
,reporting.,search_payload
,reporting.,search_result
,reporting.,search_subject
