,,Tables_in_study
,study.,action_type
,study.,address
,study.,address_status
,study.,address_type
,study.,ark_function
,study.,ark_function_type
,study.,ark_module
,study.,ark_module_function
,study.,ark_module_role
,study.,ark_permission
,study.,ark_role
,study.,ark_role_policy_template
,study.,ark_user
,study.,ark_user_role
,study.,audit_history
,study.,consent
,study.,consent_answer
,study.,consent_file
,study.,consent_option
,study.,consent_section
,study.,consent_status
,study.,consent_type
,study.,correspondence_direction_type
,study.,correspondence_mode_type
,study.,correspondence_outcome_type
,study.,correspondences
,study.,country
,study.,csv_blob
,study.,custom_field
,study.,custom_field_display
,study.,custom_field_group
,study.,custom_field_upload
,study.,delimiter_type
,study.,domain_type
,study.,email_account
,study.,email_account_type
,study.,email_status
,study.,entity_type
,study.,field_type
,study.,file_format
,study.,gender_type
,study.,link_site_contact
,study.,link_study_arkmodule
,study.,link_study_studycomp
,study.,link_study_studysite
,study.,link_study_substudy
,study.,link_subject_contact
,study.,link_subject_pedigree
,study.,link_subject_study
,study.,link_subject_studycomp
,study.,link_subject_twin
,study.,marital_status
,study.,measurement_type
,study.,otherid
,study.,padding_character
,study.,payload
,study.,person
,study.,person_contact_method
,study.,person_lastname_history
,study.,phone
,study.,phone_status
,study.,phone_type
,study.,question_answer
,study.,registration_status
,study.,relationship
,study.,role_policy
,study.,state
,study.,study
,study.,study_comp
,study.,study_comp_status
,study.,study_consent_question
,study.,study_site
,study.,study_status
,study.,study_user_role_permission_view
,study.,subject_custom_field_data
,study.,subject_file
,study.,subject_status
,study.,subject_study_consent
,study.,subjectuid_padchar
,study.,subjectuid_sequence
,study.,subjectuid_token
,study.,temp
,study.,title_type
,study.,twin_type
,study.,unit_type
,study.,upload
,study.,upload_error
,study.,upload_status
,study.,upload_type
,study.,vital_status
,study.,yes_no
